np,model,topo,radix,spread_mode,spread_avg,off-fail,on-fail,runs,min_steps,max_steps,steps_avg,min_in_spread,max_in_spread,in_spread_avg,min_out_spread,max_out_spread,out_spread_avg,min_msgs,max_msgs,msgs_avg,min_data,max_data,data_avg,min_queue,max_queue,queue_avg,min_dead,max_dead,dead_avg
64,0,3,2,0,0,0.00,0.00,1,132,132,132.00,0,0,0.00,55,55,55.00,190,190,190.00,4640,4640,4640.00,2,2,2.00,0,0,0.00
64,0,3,3,0,0,0.00,0.00,1,89,89,89.00,0,0,0.00,32,32,32.00,191,191,191.00,4626,4626,4626.00,2,2,2.00,0,0,0.00
64,0,3,4,0,0,0.00,0.00,1,70,70,70.00,0,0,0.00,22,22,22.00,195,195,195.00,4704,4704,4704.00,3,3,3.00,0,0,0.00
64,0,3,5,0,0,0.00,0.00,1,69,69,69.00,0,0,0.00,21,21,21.00,201,201,201.00,4738,4738,4738.00,3,3,3.00,0,0,0.00
64,0,3,6,0,0,0.00,0.00,1,70,70,70.00,0,0,0.00,21,21,21.00,210,210,210.00,4747,4747,4747.00,4,4,4.00,0,0,0.00
64,0,3,7,0,0,0.00,0.00,1,66,66,66.00,0,0,0.00,17,17,17.00,224,224,224.00,5033,5033,5033.00,6,6,6.00,0,0,0.00
64,0,3,8,0,0,0.00,0.00,1,54,54,54.00,0,0,0.00,11,11,11.00,207,207,207.00,4792,4792,4792.00,7,7,7.00,0,0,0.00
64,0,3,9,0,0,0.00,0.00,1,54,54,54.00,0,0,0.00,11,11,11.00,224,224,224.00,5035,5035,5035.00,8,8,8.00,0,0,0.00
64,0,3,10,0,0,0.00,0.00,1,54,54,54.00,0,0,0.00,12,12,12.00,232,232,232.00,4888,4888,4888.00,8,8,8.00,0,0,0.00
64,0,3,11,0,0,0.00,0.00,1,53,53,53.00,0,0,0.00,12,12,12.00,238,238,238.00,4750,4750,4750.00,5,5,5.00,0,0,0.00
64,0,3,12,0,0,0.00,0.00,1,54,54,54.00,0,0,0.00,12,12,12.00,255,255,255.00,4968,4968,4968.00,9,9,9.00,0,0,0.00
64,0,3,13,0,0,0.00,0.00,1,54,54,54.00,0,0,0.00,13,13,13.00,270,270,270.00,4851,4851,4851.00,4,4,4.00,0,0,0.00
64,0,3,14,0,0,0.00,0.00,1,56,56,56.00,0,0,0.00,13,13,13.00,294,294,294.00,4850,4850,4850.00,4,4,4.00,0,0,0.00
64,0,3,15,0,0,0.00,0.00,1,58,58,58.00,0,0,0.00,13,13,13.00,320,320,320.00,4849,4849,4849.00,5,5,5.00,0,0,0.00
64,0,3,16,0,0,0.00,0.00,1,58,58,58.00,0,0,0.00,11,11,11.00,348,348,348.00,4848,4848,4848.00,5,5,5.00,0,0,0.00
64,0,3,17,0,0,0.00,0.00,1,60,60,60.00,0,0,0.00,13,13,13.00,378,378,378.00,4847,4847,4847.00,7,7,7.00,0,0,0.00
64,0,3,18,0,0,0.00,0.00,1,62,62,62.00,0,0,0.00,13,13,13.00,410,410,410.00,4846,4846,4846.00,8,8,8.00,0,0,0.00
64,0,3,19,0,0,0.00,0.00,1,64,64,64.00,0,0,0.00,13,13,13.00,444,444,444.00,4845,4845,4845.00,9,9,9.00,0,0,0.00
64,0,3,20,0,0,0.00,0.00,1,66,66,66.00,0,0,0.00,13,13,13.00,480,480,480.00,4844,4844,4844.00,10,10,10.00,0,0,0.00
128,0,3,2,0,0,0.00,0.00,1,156,156,156.00,0,0,0.00,66,66,66.00,382,382,382.00,17664,17664,17664.00,2,2,2.00,0,0,0.00
128,0,3,3,0,0,0.00,0.00,1,111,111,111.00,0,0,0.00,42,42,42.00,385,385,385.00,17877,17877,17877.00,3,3,3.00,0,0,0.00
128,0,3,4,0,0,0.00,0.00,1,94,94,94.00,0,0,0.00,33,33,33.00,387,387,387.00,17792,17792,17792.00,3,3,3.00,0,0,0.00
128,0,3,5,0,0,0.00,0.00,1,75,75,75.00,0,0,0.00,22,22,22.00,393,393,393.00,18013,18013,18013.00,5,5,5.00,0,0,0.00
128,0,3,6,0,0,0.00,0.00,1,74,74,74.00,0,0,0.00,21,21,21.00,401,401,401.00,18068,18068,18068.00,4,4,4.00,0,0,0.00
